1563022354,window_3x3,1307335045,0.1,1000.0,-2168.636599423631
1563617380,window_3x3,1563348194,0.1,1000.0,-1745.4542440318303
2827748156,vertical_noise,window_for_vertical,2291659237,0.1,100000.0,-580.7256035362121
2848935086,diagonal_noise,window_3x3,2441695047,0.1,100000.0,-762.3968417439066
2848935069,diagonal_noise,window_3x3,2441695047,0.1,100000.0,-753.7274287675936
2848935017,diagonal_noise,window_3x3,2441695047,0.1,100000.0,-714.4668726398902
2848935052,diagonal_noise,window_3x3,2441695047,0.1,100000.0,-816.5166495022314
2848934988,diagonal_noise,window_3x3,2441695047,0.1,100000.0,-833.0885684860968
2848935034,diagonal_noise,window_3x3,2441695047,0.1,100000.0,-826.8087881908685
2848935003,diagonal_noise,window_3x3,2441695047,0.1,100000.0,-815.0538963268109
2848935103,diagonal_noise,window_3x3,2441695047,0.1,100000.0,-1003.0209406110539
2860809265,diagonal_noise,window_3x3,2441695047,0.1,100000.0,-978.6354273944387
2860809248,diagonal_noise,window_3x3,2441695047,0.1,100000.0,-996.8513559903879
2860809300,diagonal_noise,window_3x3,2441695047,0.1,100000.0,-867.5046343975283
2860809337,diagonal_noise,window_3x3,2441695047,0.1,100000.0,-813.7665636800549
2860809373,diagonal_noise,window_3x3,2441695047,0.1,100000.0,-778.332303467216
2860809282,diagonal_noise,window_3x3,2441695047,0.1,100000.0,-938.0116718159973
2860809318,diagonal_noise,window_3x3,2441695047,0.1,100000.0,-928.8901476141435
2860809355,diagonal_noise,window_3x3,2441695047,0.1,100000.0,-932.6285616203227
2869322833,diagonal_noise,window_3x3,2441695047,0.1,100000.0,-868.5818743563336
2869322785,diagonal_noise,window_3x3,2441695047,0.1,100000.0,-992.5362169584621
2869322887,diagonal_noise,window_3x3,2441695047,0.1,100000.0,-792.9945073807072
2869322816,diagonal_noise,window_3x3,2441695047,0.1,100000.0,-928.1095090971507
2869322799,diagonal_noise,window_3x3,2441695047,0.1,100000.0,-773.8932372124957
2869322851,diagonal_noise,window_3x3,2441695047,0.1,100000.0,-813.4383796773086
2869322905,diagonal_noise,window_3x3,2441695047,0.1,100000.0,-711.9364915894267
2869322869,diagonal_noise,window_3x3,2441695047,0.1,100000.0,-720.9155509783728
2883045021,diagonal_noise,window_3x3,2441695047,0.1,100000.0,-900.3360796429797
2883045004,diagonal_noise,window_3x3,2441695047,0.1,100000.0,-888.6240988671473
2883044917,diagonal_noise,window_3x3,2441695047,0.1,100000.0,-844.4466186062479
2883044986,diagonal_noise,window_3x3,2441695047,0.1,100000.0,-760.8589083419156
2883044934,diagonal_noise,window_3x3,2441695047,0.1,100000.0,-933.6041881222108
2883044968,diagonal_noise,window_3x3,2441695047,0.1,100000.0,-858.5238585650532
2883045039,diagonal_noise,window_3x3,2441695047,0.1,100000.0,-835.4981119121181
2883044951,diagonal_noise,window_3x3,2441695047,0.1,100000.0,-964.4747682801236
2894905289,diagonal_noise,window_for_diagonal,2441695047,0.1,100000.0,-842.7542052866461
2894905393,diagonal_noise,window_for_diagonal,2441695047,0.1,100000.0,-750.458633710951
2894905375,diagonal_noise,window_for_diagonal,2441695047,0.1,100000.0,-799.6004119464469
2894905339,diagonal_noise,window_for_diagonal,2441695047,0.1,100000.0,-808.4424991417783
2894905305,diagonal_noise,window_for_diagonal,2441695047,0.1,100000.0,-958.2166151733608
2894905411,diagonal_noise,window_for_diagonal,2441695047,0.1,100000.0,-850.9121180913148
2894905357,diagonal_noise,window_for_diagonal,2441695047,0.1,100000.0,-969.3147957432201
2894905322,diagonal_noise,window_for_diagonal,2441695047,0.1,100000.0,-957.6831445245451
2906703754,diagonal_noise,window_for_diagonal,2441695047,0.1,100000.0,-828.5612770339856
2906703819,diagonal_noise,window_for_diagonal,2441695047,0.1,100000.0,-880.1204943357363
2906703803,diagonal_noise,window_for_diagonal,2441695047,0.1,100000.0,-1070.8087881908684
2906703738,diagonal_noise,window_for_diagonal,2441695047,0.1,100000.0,-919.8740130449709
2906703836,diagonal_noise,window_for_diagonal,2441695047,0.1,100000.0,-892.1397185032613
2906703786,diagonal_noise,window_for_diagonal,2441695047,0.1,100000.0,-940.6862341228973
2906703853,diagonal_noise,window_for_diagonal,2441695047,0.1,100000.0,-941.0573292138689
2906703770,diagonal_noise,window_for_diagonal,2441695047,0.1,100000.0,-897.0944043940955
2916408032,diagonal_noise,window_for_diagonal,2441695047,0.1,100000.0,-796.1610024030209
2916408004,diagonal_noise,window_for_diagonal,2441695047,0.1,100000.0,-735.6354273944387
2916407988,diagonal_noise,window_for_diagonal,2441695047,0.1,100000.0,-924.4922760041195
2916407973,diagonal_noise,window_for_diagonal,2441695047,0.1,100000.0,-766.0707174733951
2916408018,diagonal_noise,window_for_diagonal,2441695047,0.1,100000.0,-834.5619636113972
2916408068,diagonal_noise,window_for_diagonal,2441695047,0.1,100000.0,-833.2234809474768
2916408084,diagonal_noise,window_for_diagonal,2441695047,0.1,100000.0,-808.9855818743563
2916408050,diagonal_noise,window_for_diagonal,2441695047,0.1,100000.0,-899.6457260556127
2929719016,diagonal_noise,window_for_diagonal,2441695047,0.1,100000.0,-896.4400961208377
2929719032,diagonal_noise,window_for_diagonal,2441695047,0.1,100000.0,-892.8939237899073
2929719064,diagonal_noise,window_for_diagonal,2441695047,0.1,100000.0,-873.5300377617576
2929719080,diagonal_noise,window_for_diagonal,2441695047,0.1,100000.0,-813.6254720219705
2929719097,diagonal_noise,window_for_diagonal,2441695047,0.1,100000.0,-869.6371438379678
2929719113,diagonal_noise,window_for_diagonal,2441695047,0.1,100000.0,-844.9409543426021
2929719048,diagonal_noise,window_for_diagonal,2441695047,0.1,100000.0,-821.925506350841
2929719001,diagonal_noise,window_for_diagonal,2441695047,0.1,100000.0,-774.0401647785787
2945432687,periodic_noise,window_3x3,2440749822,0.1,100000.0,-914.3183344526528
2945432618,periodic_noise,window_3x3,2440749822,0.1,100000.0,-1110.0849563465413
2945432584,periodic_noise,window_3x3,2440749822,0.1,100000.0,-901.9036265950302
2945432635,periodic_noise,window_3x3,2440749822,0.1,100000.0,-1229.423438549362
2945432652,periodic_noise,window_3x3,2440749822,0.1,100000.0,-850.410678307589
2945432569,periodic_noise,window_3x3,2440749822,0.1,100000.0,-928.2327065144392
2945432601,periodic_noise,window_3x3,2440749822,0.1,100000.0,-1163.7330423102753
2945432669,periodic_noise,window_3x3,2440749822,0.1,100000.0,-1151.226662189389
2959164544,periodic_noise,window_3x3,2440749822,0.1,100000.0,-935.7585627938214
2959164593,periodic_noise,window_3x3,2440749822,0.1,100000.0,-914.9267965077233
2959164560,periodic_noise,window_3x3,2440749822,0.1,100000.0,-1078.1007387508396
2959164610,periodic_noise,window_3x3,2440749822,0.1,100000.0,-1050.5920080591002
2959164511,periodic_noise,window_3x3,2440749822,0.1,100000.0,-1221.2303559435863
2959164527,periodic_noise,window_3x3,2440749822,0.1,100000.0,-1141.2521826729349
2959164627,periodic_noise,window_3x3,2440749822,0.1,100000.0,-1108.1638683680321
